ma_geo_id	ma_vote_id	ctyvtd	statefp10	countyfp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	recordno	logrecno	county	vtd	name	precinct_code	town	prec_number	citizen	democrat	green	independent	libertarian	npa	other	reform	republican	unknown	total	dem_pct	vap	pop100
1	"105"	"1 2158"	25	1	"2158"	"250012158"	"A"	"Barnstable Precinct 1"	"Barnstable Precinct 1"	0	"G5240"	"N"	29839219	491433	41.69456	-70.30041	70000000	15403	1	"2158"	"Barnstable Precinct 1"	"BARNSTABLE-001"	"BARNSTABLE"	"1"	"0"	"621"	"0"	"0"	"0"	"1638"	"15"	"0"	"565"	"0"	"2839"	"0.523608744"	2924	3471
2	"114"	"1 2167"	25	1	"2167"	"250012167"	"A"	"Barnstable Precinct 10"	"Barnstable Precinct 10"	0	"G5240"	"N"	9188917	1733964	41.66496	-70.39932	70000000	17001	1	"2167"	"Barnstable Precinct 10"	"BARNSTABLE-010"	"BARNSTABLE"	"10"	"0"	"590"	"0"	"0"	"5"	"1549"	"14"	"0"	"444"	"0"	"2602"	"0.570599616"	2968	3758
3	"115"	"1 2168"	25	1	"2168"	"250012168"	"A"	"Barnstable Precinct 11"	"Barnstable Precinct 11"	0	"G5240"	"N"	40730106	318553	41.710854	-70.36269	70000000	17128	1	"2168"	"Barnstable Precinct 11"	"BARNSTABLE-011"	"BARNSTABLE"	"11"	"0"	"650"	"0"	"0"	"4"	"1662"	"14"	"0"	"564"	"0"	"2894"	"0.53542012"	2993	3816
4	"116"	"1 2169"	25	1	"2169"	"250012169"	"A"	"Barnstable Precinct 12"	"Barnstable Precinct 12"	0	"G5240"	"N"	9171496	350296	41.6678	-70.434654	70000000	17318	1	"2169"	"Barnstable Precinct 12"	"BARNSTABLE-012"	"BARNSTABLE"	"12"	"0"	"562"	"0"	"0"	"3"	"1427"	"12"	"0"	"391"	"0"	"2395"	"0.589716673"	2556	3300
5	"117"	"1 2170"	25	1	"2170"	"250012170"	"A"	"Barnstable Precinct 13"	"Barnstable Precinct 13"	0	"G5240"	"N"	6321033	171699	41.64046	-70.300735	70000000	17428	1	"2170"	"Barnstable Precinct 13"	"BARNSTABLE-013"	"BARNSTABLE"	"13"	"0"	"612"	"0"	"0"	"1"	"1093"	"6"	"0"	"307"	"1"	"2020"	"0.665941238"	2677	3151
6	"106"	"1 2159"	25	1	"2159"	"250012159"	"A"	"Barnstable Precinct 2"	"Barnstable Precinct 2"	0	"G5240"	"N"	5947721	2887416	41.672394	-70.339455	70000000	15715	1	"2159"	"Barnstable Precinct 2"	"BARNSTABLE-002"	"BARNSTABLE"	"2"	"0"	"650"	"0"	"0"	"1"	"1438"	"7"	"0"	"407"	"0"	"2503"	"0.614947975"	3020	3654
7	"107"	"1 2160"	25	1	"2160"	"250012160"	"A"	"Barnstable Precinct 3"	"Barnstable Precinct 3"	0	"G5240"	"N"	3821266	58098	41.64783	-70.31659	70000000	15859	1	"2160"	"Barnstable Precinct 3"	"BARNSTABLE-003"	"BARNSTABLE"	"3"	"0"	"640"	"0"	"0"	"4"	"1122"	"13"	"0"	"288"	"0"	"2067"	"0.689655185"	2833	3522
8	"108"	"1 2161"	25	1	"2161"	"250012161"	"A"	"Barnstable Precinct 4"	"Barnstable Precinct 4"	0	"G5240"	"N"	7425743	321196	41.65016	-70.344154	70000000	15979	1	"2161"	"Barnstable Precinct 4"	"BARNSTABLE-004"	"BARNSTABLE"	"4"	"0"	"624"	"0"	"0"	"2"	"1292"	"6"	"0"	"487"	"0"	"2411"	"0.561656177"	2806	3330
9	"109"	"1 2162"	25	1	"2162"	"250012162"	"A"	"Barnstable Precinct 5"	"Barnstable Precinct 5"	0	"G5240"	"N"	16963458	444580	41.63106	-70.39013	70000000	16170	1	"2162"	"Barnstable Precinct 5"	"BARNSTABLE-005"	"BARNSTABLE"	"5"	"0"	"497"	"0"	"0"	"1"	"1391"	"7"	"0"	"623"	"0"	"2519"	"0.443749994"	2563	3061
10	"110"	"1 2163"	25	1	"2163"	"250012163"	"A"	"Barnstable Precinct 6"	"Barnstable Precinct 6"	0	"G5240"	"N"	4881419	53414	41.665363	-70.367424	70000000	16377	1	"2163"	"Barnstable Precinct 6"	"BARNSTABLE-006"	"BARNSTABLE"	"6"	"0"	"655"	"0"	"1"	"6"	"1509"	"5"	"0"	"398"	"0"	"2574"	"0.622032285"	2852	3535
